,Unnamed: 0,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Time,season,Attendance
143,143,E0,20/11/99,Sunderland,Liverpool,0,2,A,0,0,D,,,,,,,,,,,,,S_1999_2000,
144,144,E0,20/11/99,Watford,Newcastle,1,1,D,0,0,D,,,,,,,,,,,,,S_1999_2000,
145,145,E0,21/11/99,West Ham,Sheffield Weds,4,3,H,1,1,D,,,,,,,,,,,,,S_1999_2000,
146,146,E0,22/11/99,Coventry,Aston Villa,2,1,H,1,1,D,,,,,,,,,,,,,S_1999_2000,
147,147,E0,27/11/99,Coventry,Leicester,0,1,A,0,0,D,,,,,,,,,,,,,S_1999_2000,
148,148,E0,27/11/99,Everton,Aston Villa,0,0,D,0,0,D,,,,,,,,,,,,,S_1999_2000,
149,149,E0,27/11/99,Middlesbrough,Wimbledon,0,0,D,0,0,D,,,,,,,,,,,,,S_1999_2000,
150,150,E0,27/11/99,Watford,Sunderland,2,3,A,1,2,A,,,,,,,,,,,,,S_1999_2000,
151,151,E0,27/11/99,West Ham,Liverpool,1,0,H,1,0,H,,,,,,,,,,,,,S_1999_2000,
152,152,E0,28/11/99,Arsenal,Derby,2,1,H,1,1,D,,,,,,,,,,,,,S_1999_2000,
153,153,E0,28/11/99,Chelsea,Bradford,1,0,H,1,0,H,,,,,,,,,,,,,S_1999_2000,
154,154,E0,28/11/99,Leeds,Southampton,1,0,H,0,0,D,,,,,,,,,,,,,S_1999_2000,
155,155,E0,28/11/99,Newcastle,Tottenham,2,1,H,1,1,D,,,,,,,,,,,,,S_1999_2000,
156,156,E0,04/12/99,Aston Villa,Newcastle,0,1,A,0,0,D,,,,,,,,,,,,,S_1999_2000,
157,157,E0,04/12/99,Bradford,Middlesbrough,1,1,D,0,1,A,,,,,,,,,,,,,S_1999_2000,
158,158,E0,04/12/99,Leicester,Arsenal,0,3,A,0,1,A,,,,,,,,,,,,,S_1999_2000,
159,159,E0,04/12/99,Man United,Everton,5,1,H,3,1,H,,,,,,,,,,,,,S_1999_2000,
160,160,E0,04/12/99,Southampton,Coventry,0,0,D,0,0,D,,,,,,,,,,,,,S_1999_2000,
161,161,E0,04/12/99,Sunderland,Chelsea,4,1,H,4,0,H,,,,,,,,,,,,,S_1999_2000,
162,162,E0,04/12/99,Wimbledon,Watford,5,0,H,2,0,H,,,,,,,,,,,,,S_1999_2000,
163,163,E0,05/12/99,Derby,Leeds,0,1,A,0,0,D,,,,,,,,,,,,,S_1999_2000,
164,164,E0,05/12/99,Liverpool,Sheffield Weds,4,1,H,2,1,H,,,,,,,,,,,,,S_1999_2000,
165,165,E0,06/12/99,Tottenham,West Ham,0,0,D,0,0,D,,,,,,,,,,,,,S_1999_2000,
166,166,E0,18/12/99,Arsenal,Wimbledon,1,1,D,0,1,A,,,,,,,,,,,,,S_1999_2000,
167,167,E0,18/12/99,Aston Villa,Sheffield Weds,2,1,H,0,1,A,,,,,,,,,,,,,S_1999_2000,
168,168,E0,18/12/99,Bradford,Newcastle,2,0,H,0,0,D,,,,,,,,,,,,,S_1999_2000,
169,169,E0,18/12/99,Leicester,Derby,0,1,A,0,0,D,,,,,,,,,,,,,S_1999_2000,
170,170,E0,18/12/99,Liverpool,Coventry,2,0,H,1,0,H,,,,,,,,,,,,,S_1999_2000,
171,171,E0,18/12/99,Middlesbrough,Tottenham,2,1,H,1,1,D,,,,,,,,,,,,,S_1999_2000,
172,172,E0,18/12/99,Sunderland,Southampton,2,0,H,1,0,H,,,,,,,,,,,,,S_1999_2000,
173,173,E0,18/12/99,Watford,Everton,1,3,A,0,2,A,,,,,,,,,,,,,S_1999_2000,
174,174,E0,18/12/99,West Ham,Man United,2,4,A,1,3,A,,,,,,,,,,,,,S_1999_2000,
175,175,E0,19/12/99,Chelsea,Leeds,0,2,A,0,0,D,,,,,,,,,,,,,S_1999_2000,
176,176,E0,26/12/99,Coventry,Arsenal,3,2,H,2,0,H,,,,,,,,,,,,,S_1999_2000,
177,177,E0,26/12/99,Derby,Aston Villa,0,2,A,0,0,D,,,,,,,,,,,,,S_1999_2000,
178,178,E0,26/12/99,Everton,Sunderland,5,0,H,3,0,H,,,,,,,,,,,,,S_1999_2000,
179,179,E0,26/12/99,Leeds,Leicester,2,1,H,2,1,H,,,,,,,,,,,,,S_1999_2000,
180,180,E0,26/12/99,Man United,Bradford,4,0,H,0,0,D,,,,,,,,,,,,,S_1999_2000,
181,181,E0,26/12/99,Newcastle,Liverpool,2,2,D,1,1,D,,,,,,,,,,,,,S_1999_2000,
182,182,E0,26/12/99,Sheffield Weds,Middlesbrough,1,0,H,1,0,H,,,,,,,,,,,,,S_1999_2000,
183,183,E0,26/12/99,Southampton,Chelsea,1,2,A,0,2,A,,,,,,,,,,,,,S_1999_2000,
184,184,E0,26/12/99,Tottenham,Watford,4,0,H,2,0,H,,,,,,,,,,,,,S_1999_2000,
185,185,E0,26/12/99,Wimbledon,West Ham,2,2,D,1,1,D,,,,,,,,,,,,,S_1999_2000,
186,186,E0,28/12/99,Arsenal,Leeds,2,0,H,1,0,H,,,,,,,,,,,,,S_1999_2000,
187,187,E0,28/12/99,Bradford,Everton,0,0,D,0,0,D,,,,,,,,,,,,,S_1999_2000,
188,188,E0,28/12/99,Leicester,Newcastle,1,2,A,0,1,A,,,,,,,,,,,,,S_1999_2000,
189,189,E0,28/12/99,Liverpool,Wimbledon,3,1,H,0,0,D,,,,,,,,,,,,,S_1999_2000,
190,190,E0,28/12/99,Sunderland,Man United,2,2,D,2,1,H,,,,,,,,,,,,,S_1999_2000,
191,191,E0,28/12/99,Watford,Southampton,3,2,H,2,0,H,,,,,,,,,,,,,S_1999_2000,
192,192,E0,28/12/99,West Ham,Derby,1,1,D,1,1,D,,,,,,,,,,,,,S_1999_2000,
193,193,E0,29/12/99,Aston Villa,Tottenham,1,1,D,0,1,A,,,,,,,,,,,,,S_1999_2000,
194,194,E0,29/12/99,Chelsea,Sheffield Weds,3,0,H,2,0,H,,,,,,,,,,,,,S_1999_2000,
195,195,E0,03/01/00,Derby,Watford,2,0,H,1,0,H,,,,,,,,,,,,,S_1999_2000,
196,196,E0,03/01/00,Everton,Leicester,2,2,D,1,2,A,,,,,,,,,,,,,S_1999_2000,
197,197,E0,03/01/00,Leeds,Aston Villa,1,2,A,0,1,A,,,,,,,,,,,,,S_1999_2000,
198,198,E0,03/01/00,Newcastle,West Ham,2,2,D,1,0,H,,,,,,,,,,,,,S_1999_2000,
199,199,E0,03/01/00,Sheffield Weds,Arsenal,1,1,D,0,1,A,,,,,,,,,,,,,S_1999_2000,
200,200,E0,03/01/00,Southampton,Bradford,1,0,H,0,0,D,,,,,,,,,,,,,S_1999_2000,
