,Unnamed: 0,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Time,season,Attendance
86,86,E0,03/10/94,Leicester,Coventry,2,2,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
87,87,E0,08/10/94,Chelsea,Leicester,4,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
88,88,E0,08/10/94,Liverpool,Aston Villa,3,2,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
89,89,E0,08/10/94,Man City,Nott'm Forest,3,3,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
90,90,E0,08/10/94,Norwich,Leeds,2,1,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
91,91,E0,08/10/94,Sheffield Weds,Man United,1,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
92,92,E0,08/10/94,Southampton,Everton,2,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
93,93,E0,08/10/94,Tottenham,QPR,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
94,94,E0,08/10/94,West Ham,Crystal Palace,1,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
95,95,E0,08/10/94,Wimbledon,Arsenal,1,3,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
96,96,E0,09/10/94,Newcastle,Blackburn,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
97,97,E0,10/10/94,Coventry,Ipswich,2,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
98,98,E0,15/10/94,Arsenal,Chelsea,3,1,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
99,99,E0,15/10/94,Aston Villa,Norwich,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
100,100,E0,15/10/94,Blackburn,Liverpool,3,2,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
101,101,E0,15/10/94,Crystal Palace,Newcastle,0,1,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
102,102,E0,15/10/94,Everton,Coventry,0,2,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
103,103,E0,15/10/94,Leeds,Tottenham,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
104,104,E0,15/10/94,Leicester,Southampton,4,3,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
105,105,E0,15/10/94,Man United,West Ham,1,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
106,106,E0,15/10/94,QPR,Man City,1,2,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
107,107,E0,16/10/94,Ipswich,Sheffield Weds,1,2,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
108,108,E0,17/10/94,Nott'm Forest,Wimbledon,3,1,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
109,109,E0,22/10/94,Aston Villa,Nott'm Forest,0,2,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
110,110,E0,22/10/94,Crystal Palace,Everton,1,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
111,111,E0,22/10/94,Liverpool,Wimbledon,3,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
112,112,E0,22/10/94,Man City,Tottenham,5,2,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
113,113,E0,22/10/94,Newcastle,Sheffield Weds,2,1,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
114,114,E0,22/10/94,Norwich,QPR,4,2,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
115,115,E0,22/10/94,West Ham,Southampton,2,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
