date,ranking,Manchester City,Liverpool,Chelsea,Tottenham Hotspur,Arsenal,Manchester United,West Ham United,Wolverhampton,Brighton and Hove Albion,Leicester City,Aston Villa,Crystal Palace,Southampton,Leeds United,Brentford,Everton,Burnley,Watford,Newcastle,Norwich City,Fulham,AFC Bournemouth,Nottingham Forest
2022-01-04,defense,2.9,2.8,2.3,2.3,2.3,2.3,1.9,1.6,2.1,1.9,1.8,1.7,1.7,1.8,1.9,1.6,,,2.1,,1.8,1.5,1.5
2022-01-04,offense,0.3,0.6,0.5,0.7,0.5,0.6,0.6,0.8,0.6,0.9,0.8,0.8,1.0,1.0,1.0,0.9,,,0.6,,1.1,1.1,1.2
2022-01-04,overall,92.8,86.9,82.6,79.8,84.0,80.7,76.2,64.6,78.7,68.4,70.0,68.2,62.8,65.3,66.7,64.0,,,79.3,,61.5,55.0,53.9
2022-01-07,defense,2.9,2.7,2.2,2.3,2.3,2.3,1.9,1.6,2.2,1.9,1.9,1.8,1.7,1.9,1.9,1.6,,,2.2,,1.8,1.5,1.5
2022-01-07,offense,0.3,0.6,0.5,0.7,0.4,0.7,0.6,0.9,0.6,0.9,0.8,0.7,1.0,1.0,1.0,0.9,,,0.6,,1.1,1.2,1.2
2022-01-07,overall,92.5,86.8,81.5,80.1,85.3,79.9,74.7,63.5,79.2,69.1,71.0,69.9,62.9,64.7,66.0,63.1,,,79.0,,62.4,54.6,54.4
2022-01-12,defense,2.9,2.8,2.2,2.3,2.3,2.3,1.8,1.6,2.2,2.0,1.9,1.7,1.8,1.9,2.0,1.6,,,2.2,,1.8,1.6,1.5
2022-01-12,offense,0.4,0.6,0.5,0.7,0.4,0.7,0.6,0.9,0.6,0.9,0.8,0.7,1.0,1.1,1.0,1.0,,,0.6,,1.1,1.1,1.1
2022-01-12,overall,91.2,86.4,81.0,79.4,85.9,79.9,73.8,62.9,79.2,70.2,71.0,69.5,63.2,65.1,68.3,60.7,,,79.9,,62.4,56.6,55.3
2022-01-14,defense,2.9,2.8,2.2,2.3,2.3,2.3,1.8,1.6,2.1,2.0,1.9,1.7,1.8,1.9,2.0,1.6,,,2.2,,1.8,1.6,1.5
2022-01-14,offense,0.4,0.6,0.5,0.7,0.4,0.7,0.6,0.9,0.6,0.9,0.7,0.7,1.0,1.1,1.0,1.0,,,0.6,,1.1,1.1,1.1
2022-01-14,overall,91.2,86.4,81.0,79.4,85.9,80.0,73.8,62.9,78.2,70.2,72.2,69.5,63.2,65.1,68.3,60.7,,,79.9,,62.0,56.6,55.3
2022-01-28,defense,2.9,2.8,2.2,2.3,2.3,2.3,1.8,1.6,2.1,2.0,1.9,1.7,1.8,1.9,2.0,1.6,,,2.2,,1.8,1.6,1.5
2022-01-28,offense,0.4,0.6,0.5,0.7,0.4,0.7,0.6,0.9,0.6,0.9,0.7,0.7,1.0,1.1,1.0,1.0,,,0.6,,1.1,1.1,1.1
2022-01-28,overall,91.2,86.4,81.0,79.4,85.9,80.0,73.8,62.9,78.2,70.2,72.2,69.5,63.2,65.1,68.3,60.7,,,79.9,,62.0,56.6,55.3
2022-01-05,defense,2.9,2.8,2.2,2.3,2.3,2.3,1.8,1.6,2.1,2.0,1.9,1.7,1.8,1.9,2.0,1.6,,,2.2,,1.8,1.6,1.5
2022-01-05,offense,0.4,0.6,0.5,0.7,0.4,0.7,0.6,0.9,0.6,0.9,0.7,0.7,1.0,1.1,1.0,1.0,,,0.6,,1.1,1.1,1.1
2022-01-05,overall,91.2,86.4,81.0,79.4,85.9,80.0,73.8,62.9,78.2,70.2,72.2,69.5,63.2,65.1,68.3,60.7,,,79.9,,62.0,56.6,55.3
2022-01-21,defense,2.9,2.8,2.2,2.3,2.3,2.3,1.8,1.6,2.1,2.0,1.9,1.7,1.8,1.9,2.0,1.6,,,2.2,,1.8,1.6,1.5
2022-01-21,offense,0.4,0.6,0.5,0.7,0.4,0.7,0.6,0.9,0.6,0.9,0.7,0.7,1.0,1.1,1.0,1.0,,,0.6,,1.1,1.1,1.1
2022-01-21,overall,91.2,86.4,81.0,79.4,85.9,80.0,73.8,62.9,78.2,70.2,72.2,69.5,63.2,65.1,68.3,60.7,,,79.9,,62.0,56.6,55.3
2023-01-03,defense,2.8,2.7,2.1,2.3,2.4,2.3,1.8,1.6,2.2,1.9,1.9,1.7,1.7,1.9,2.1,1.6,,,2.1,,1.9,1.6,1.5
2023-01-03,offense,0.4,0.6,0.5,0.8,0.4,0.6,0.7,0.9,0.7,0.9,0.7,0.8,1.0,1.1,0.9,1.0,,,0.5,,1.0,1.2,1.1
2023-01-03,overall,91.1,85.6,80.3,77.5,86.1,81.2,72.3,62.8,78.0,69.0,73.7,67.4,62.8,64.5,70.5,59.7,,,81.7,,66.7,55.2,56.0
2023-01-06,defense,2.8,2.7,2.1,2.3,2.4,2.3,1.8,1.6,2.2,1.9,1.9,1.7,1.7,1.9,2.1,1.6,,,2.1,,1.9,1.6,1.5
2023-01-06,offense,0.3,0.6,0.5,0.7,0.4,0.6,0.7,0.9,0.7,0.9,0.7,0.8,1.0,1.1,0.9,1.0,,,0.5,,1.0,1.2,1.0
2023-01-06,overall,91.4,85.6,80.0,78.6,86.1,81.2,71.8,63.2,78.0,69.0,73.4,66.1,61.9,64.9,70.5,59.7,,,81.7,,66.7,55.2,57.4
2023-01-07,defense,2.8,2.7,2.1,2.3,2.4,2.3,1.8,1.6,2.2,1.9,1.9,1.7,1.7,1.9,2.1,1.6,,,2.1,,1.9,1.6,1.5
2023-01-07,offense,0.3,0.6,0.5,0.7,0.4,0.6,0.7,0.9,0.7,0.9,0.7,0.8,1.0,1.1,0.9,1.0,,,0.5,,1.0,1.2,1.0
2023-01-07,overall,91.4,85.6,80.0,78.6,86.1,81.2,71.8,63.2,78.0,69.0,73.4,66.1,61.9,64.9,70.5,59.7,,,81.7,,66.7,55.2,57.4
2023-01-08,defense,2.8,2.7,2.1,2.3,2.4,2.3,1.8,1.6,2.2,1.9,1.9,1.7,1.7,1.9,2.1,1.6,,,2.1,,1.9,1.6,1.5
2023-01-08,offense,0.3,0.6,0.5,0.7,0.4,0.6,0.7,0.9,0.7,0.9,0.7,0.8,1.0,1.1,0.9,1.0,,,0.5,,1.0,1.2,1.0
2023-01-08,overall,91.4,85.6,80.0,78.6,86.1,81.2,71.8,63.2,78.0,69.0,73.4,66.1,61.9,64.9,70.5,59.7,,,81.7,,66.7,55.2,57.4
2023-01-09,defense,2.8,2.7,2.1,2.3,2.4,2.3,1.8,1.6,2.2,1.9,1.9,1.7,1.7,1.9,2.1,1.6,,,2.1,,1.9,1.6,1.5
2023-01-09,offense,0.3,0.6,0.5,0.7,0.4,0.6,0.7,0.9,0.7,0.9,0.7,0.8,1.0,1.1,0.9,1.0,,,0.5,,1.0,1.2,1.0
2023-01-09,overall,91.4,85.6,80.0,78.6,86.1,81.2,71.8,63.2,78.0,69.0,73.4,66.1,61.9,64.9,70.5,59.7,,,81.7,,66.7,55.2,57.4
2023-01-20,defense,2.8,2.7,2.1,2.3,2.4,2.3,1.8,1.6,2.3,1.9,1.9,1.7,1.7,1.9,2.1,1.6,,,2.1,,1.9,1.5,1.5
2023-01-20,offense,0.4,0.7,0.5,0.8,0.4,0.6,0.7,0.8,0.7,0.9,0.7,0.8,1.0,1.0,0.9,1.0,,,0.5,,1.0,1.1,1.0
2023-01-20,overall,90.7,84.4,80.3,78.3,86.5,81.9,71.9,63.3,79.4,67.9,72.4,66.2,62.5,65.9,71.0,59.0,,,81.5,,66.8,55.2,58.6
