,Unnamed: 0,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Time,season,Attendance
165,165,E0,14/12/96,Wimbledon,Blackburn,1,0,H,0,0,D,,,,,,,,,,,,S_1996_1997,
166,166,E0,15/12/96,Sunderland,Chelsea,3,0,H,1,0,H,,,,,,,,,,,,S_1996_1997,
167,167,E0,16/12/96,Derby,Everton,0,1,A,0,0,D,,,,,,,,,,,,S_1996_1997,
168,168,E0,17/12/96,Coventry,Newcastle,2,1,H,2,0,H,,,,,,,,,,,,S_1996_1997,
169,169,E0,17/12/96,Liverpool,Nott'm Forest,4,2,H,2,1,H,,,,,,,,,,,,S_1996_1997,
170,170,E0,18/12/96,Sheffield Weds,Man United,1,1,D,0,0,D,,,,,,,,,,,,S_1996_1997,
171,171,E0,21/12/96,Chelsea,West Ham,3,1,H,3,1,H,,,,,,,,,,,,S_1996_1997,
172,172,E0,21/12/96,Everton,Leeds,0,0,D,0,0,D,,,,,,,,,,,,S_1996_1997,
173,173,E0,21/12/96,Leicester,Coventry,0,2,A,0,1,A,,,,,,,,,,,,S_1996_1997,
174,174,E0,21/12/96,Man United,Sunderland,5,0,H,2,0,H,,,,,,,,,,,,S_1996_1997,
175,175,E0,21/12/96,Nott'm Forest,Arsenal,2,1,H,0,0,D,,,,,,,,,,,,S_1996_1997,
176,176,E0,21/12/96,Southampton,Derby,3,1,H,2,1,H,,,,,,,,,,,,S_1996_1997,
177,177,E0,21/12/96,Tottenham,Sheffield Weds,1,1,D,1,1,D,,,,,,,,,,,,S_1996_1997,
178,178,E0,22/12/96,Aston Villa,Wimbledon,5,0,H,2,0,H,,,,,,,,,,,,S_1996_1997,
179,179,E0,23/12/96,Newcastle,Liverpool,1,1,D,1,1,D,,,,,,,,,,,,S_1996_1997,
180,180,E0,26/12/96,Aston Villa,Chelsea,0,2,A,0,0,D,,,,,,,,,,,,S_1996_1997,
181,181,E0,26/12/96,Blackburn,Newcastle,1,0,H,0,0,D,,,,,,,,,,,,S_1996_1997,
182,182,E0,26/12/96,Leeds,Coventry,1,3,A,1,3,A,,,,,,,,,,,,S_1996_1997,
183,183,E0,26/12/96,Liverpool,Leicester,1,1,D,0,0,D,,,,,,,,,,,,S_1996_1997,
184,184,E0,26/12/96,Middlesbrough,Everton,4,2,H,2,2,D,,,,,,,,,,,,S_1996_1997,
185,185,E0,26/12/96,Nott'm Forest,Man United,0,4,A,0,2,A,,,,,,,,,,,,S_1996_1997,
186,186,E0,26/12/96,Sheffield Weds,Arsenal,0,0,D,0,0,D,,,,,,,,,,,,S_1996_1997,
187,187,E0,26/12/96,Sunderland,Derby,2,0,H,0,0,D,,,,,,,,,,,,S_1996_1997,
188,188,E0,26/12/96,Tottenham,Southampton,3,1,H,2,1,H,,,,,,,,,,,,S_1996_1997,
189,189,E0,28/12/96,Arsenal,Aston Villa,2,2,D,1,0,H,,,,,,,,,,,,S_1996_1997,
190,190,E0,28/12/96,Chelsea,Sheffield Weds,2,2,D,2,1,H,,,,,,,,,,,,S_1996_1997,
191,191,E0,28/12/96,Coventry,Middlesbrough,3,0,H,1,0,H,,,,,,,,,,,,S_1996_1997,
192,192,E0,28/12/96,Derby,Blackburn,0,0,D,0,0,D,,,,,,,,,,,,S_1996_1997,
193,193,E0,28/12/96,Everton,Wimbledon,1,3,A,1,0,H,,,,,,,,,,,,S_1996_1997,
194,194,E0,28/12/96,Leicester,Nott'm Forest,2,2,D,1,1,D,,,,,,,,,,,,S_1996_1997,
195,195,E0,28/12/96,Man United,Leeds,1,0,H,1,0,H,,,,,,,,,,,,S_1996_1997,
196,196,E0,28/12/96,Newcastle,Tottenham,7,1,H,2,0,H,,,,,,,,,,,,S_1996_1997,
197,197,E0,28/12/96,West Ham,Sunderland,2,0,H,1,0,H,,,,,,,,,,,,S_1996_1997,
198,198,E0,29/12/96,Southampton,Liverpool,0,1,A,0,0,D,,,,,,,,,,,,S_1996_1997,
199,199,E0,01/01/97,Arsenal,Middlesbrough,2,0,H,2,0,H,,,,,,,,,,,,S_1996_1997,
200,200,E0,01/01/97,Chelsea,Liverpool,1,0,H,1,0,H,,,,,,,,,,,,S_1996_1997,
201,201,E0,01/01/97,Coventry,Sunderland,2,2,D,2,2,D,,,,,,,,,,,,S_1996_1997,
202,202,E0,01/01/97,Everton,Blackburn,0,2,A,0,2,A,,,,,,,,,,,,S_1996_1997,
203,203,E0,01/01/97,Man United,Aston Villa,0,0,D,0,0,D,,,,,,,,,,,,S_1996_1997,
204,204,E0,01/01/97,Newcastle,Leeds,3,0,H,1,0,H,,,,,,,,,,,,S_1996_1997,
205,205,E0,01/01/97,West Ham,Nott'm Forest,0,1,A,0,1,A,,,,,,,,,,,,S_1996_1997,
206,206,E0,11/01/97,Aston Villa,Newcastle,2,2,D,1,2,A,,,,,,,,,,,,S_1996_1997,
207,207,E0,11/01/97,Blackburn,Coventry,4,0,H,3,0,H,,,,,,,,,,,,S_1996_1997,
208,208,E0,11/01/97,Leeds,Leicester,3,0,H,2,0,H,,,,,,,,,,,,S_1996_1997,
209,209,E0,11/01/97,Liverpool,West Ham,0,0,D,0,0,D,,,,,,,,,,,,S_1996_1997,
210,210,E0,11/01/97,Middlesbrough,Southampton,0,1,A,0,0,D,,,,,,,,,,,,S_1996_1997,
211,211,E0,11/01/97,Nott'm Forest,Chelsea,2,0,H,1,0,H,,,,,,,,,,,,S_1996_1997,
212,212,E0,11/01/97,Sheffield Weds,Everton,2,1,H,1,0,H,,,,,,,,,,,,S_1996_1997,
213,213,E0,11/01/97,Sunderland,Arsenal,1,0,H,0,0,D,,,,,,,,,,,,S_1996_1997,
214,214,E0,11/01/97,Wimbledon,Derby,1,1,D,0,0,D,,,,,,,,,,,,S_1996_1997,
215,215,E0,12/01/97,Tottenham,Man United,1,2,A,1,1,D,,,,,,,,,,,,S_1996_1997,
216,216,E0,18/01/97,Chelsea,Derby,3,1,H,2,1,H,,,,,,,,,,,,S_1996_1997,
217,217,E0,18/01/97,Coventry,Man United,0,2,A,0,0,D,,,,,,,,,,,,S_1996_1997,
218,218,E0,18/01/97,Leicester,Wimbledon,1,0,H,0,0,D,,,,,,,,,,,,S_1996_1997,
219,219,E0,18/01/97,Liverpool,Aston Villa,3,0,H,0,0,D,,,,,,,,,,,,S_1996_1997,
220,220,E0,18/01/97,Middlesbrough,Sheffield Weds,4,2,H,2,1,H,,,,,,,,,,,,S_1996_1997,
221,221,E0,18/01/97,Southampton,Newcastle,2,2,D,0,1,A,,,,,,,,,,,,S_1996_1997,
222,222,E0,18/01/97,Sunderland,Blackburn,0,0,D,0,0,D,,,,,,,,,,,,S_1996_1997,
223,223,E0,19/01/97,Arsenal,Everton,3,1,H,0,0,D,,,,,,,,,,,,S_1996_1997,
224,224,E0,19/01/97,Nott'm Forest,Tottenham,2,1,H,0,1,A,,,,,,,,,,,,S_1996_1997,
225,225,E0,20/01/97,West Ham,Leeds,0,2,A,0,0,D,,,,,,,,,,,,S_1996_1997,
226,226,E0,29/01/97,Aston Villa,Sheffield Weds,0,1,A,0,0,D,,,,,,,,,,,,S_1996_1997,
227,227,E0,29/01/97,Leeds,Derby,0,0,D,0,0,D,,,,,,,,,,,,S_1996_1997,
228,228,E0,29/01/97,Leicester,Sunderland,1,1,D,1,1,D,,,,,,,,,,,,S_1996_1997,
229,229,E0,29/01/97,Man United,Wimbledon,2,1,H,0,0,D,,,,,,,,,,,,S_1996_1997,
230,230,E0,29/01/97,Newcastle,Everton,4,1,H,0,1,A,,,,,,,,,,,,S_1996_1997,
231,231,E0,29/01/97,Nott'm Forest,Coventry,0,1,A,0,0,D,,,,,,,,,,,,S_1996_1997,
232,232,E0,29/01/97,Tottenham,Blackburn,2,1,H,1,0,H,,,,,,,,,,,,S_1996_1997,
233,233,E0,29/01/97,West Ham,Arsenal,1,2,A,0,1,A,,,,,,,,,,,,S_1996_1997,
